Row Labels,Trial Count,Max of Root Mean Square Error (RMSE),Average of Root Mean Square Error (RMSE)2
0,50,0.33841553,0.308981339
0.02,50,0.330273553,0.306115897
0.05,50,0.323405042,0.301385025
0.1,50,0.328551676,0.296492528
0.15,50,0.324015649,0.292022178
0.2,50,0.320579254,0.287553337
0.25,50,0.322268324,0.284790663
0.4,50,0.33188432,0.285901638
0.5,50,0.333119648,0.292237403
0.6,50,0.345205285,0.301073756
0.7,50,0.342088698,0.303482485
0.8,50,0.341072562,0.304450853
2,50,0.408223424,0.362611814
3,50,0.470051673,0.405956487
4,50,0.510609012,0.439474853
5,50,0.561691852,0.458302096
9,50,0.734248989,0.622563485
0.05,850,0.742642017,0.349434081
0,50,0.338333404,0.321064081
0.02,50,0.343991778,0.319997863
0.05,50,0.34447105,0.317973429
0.1,50,0.33486567,0.310384622
0.15,50,0.336737332,0.305909913
0.2,50,0.33472274,0.304201639
0.25,50,0.330671864,0.301242851
0.4,50,0.338458915,0.301323219
0.5,50,0.337981192,0.306851465
0.6,50,0.340636103,0.309722908
0.7,50,0.344468871,0.309434685
0.8,50,0.336031956,0.317281567
2,50,0.396658932,0.355938507
3,50,0.444561429,0.391703439
4,50,0.493950459,0.42280397
5,50,0.540315871,0.456311605
9,50,0.742642017,0.588233611
0.1,850,0.660633358,0.35365028
0,50,0.354450166,0.334329605
0.02,50,0.351550761,0.333105173
0.05,50,0.352225529,0.330986487
0.1,50,0.34770177,0.32728828
0.15,50,0.345419836,0.323956766
0.2,50,0.342604616,0.320438572
0.25,50,0.343057727,0.319249473
0.4,50,0.343221261,0.317408249
0.5,50,0.337742196,0.316675934
0.6,50,0.345248806,0.314137851
0.7,50,0.337800125,0.317769341
0.8,50,0.336854393,0.321400633
2,50,0.390621806,0.355536359
3,50,0.428299401,0.386722087
4,50,0.458804221,0.407821852
5,50,0.517192179,0.428063978
9,50,0.660633358,0.557164125
0.2,850,0.600409983,0.356895973
0,50,0.363884633,0.343415427
0.02,50,0.362402678,0.340870592
0.05,50,0.363926157,0.340290328
0.1,50,0.362463197,0.33772872
0.15,50,0.364182246,0.339188108
0.2,50,0.361948877,0.336289497
0.25,50,0.357709413,0.335655064
0.4,50,0.356292203,0.33031111
0.5,50,0.351483152,0.328014715
0.6,50,0.347027034,0.327154064
0.7,50,0.352460166,0.326123376
0.8,50,0.346537265,0.326310124
2,50,0.388471501,0.355474985
3,50,0.401353125,0.375446404
4,50,0.45198047,0.401231076
5,50,0.501040979,0.41389924
9,50,0.600409983,0.509828709
0.3,850,0.572834283,0.362228899
0,50,0.391496393,0.354097031
0.02,50,0.389577209,0.356261594
0.05,50,0.387481779,0.354723282
0.1,50,0.388503837,0.354143392
0.15,50,0.389748418,0.352439454
0.2,50,0.386372529,0.350904766
0.25,50,0.383114898,0.348172938
0.4,50,0.378439115,0.337177822
0.5,50,0.372510083,0.33591332
0.6,50,0.363223483,0.33623175
0.7,50,0.361971922,0.335115921
0.8,50,0.357747936,0.334006756
2,50,0.393494188,0.355285164
3,50,0.406329594,0.376583913
4,50,0.422042137,0.391793394
5,50,0.462081411,0.408629612
9,50,0.572834283,0.476411175
0.4,850,0.536802118,0.367998948
0,50,0.450448333,0.374282848
0.02,50,0.43695585,0.370776908
0.05,50,0.437755387,0.364203126
0.1,50,0.43787324,0.366298281
0.15,50,0.433683852,0.360511193
0.2,50,0.426285631,0.356932172
0.25,50,0.419148141,0.357881792
0.4,50,0.399219232,0.3513086
0.5,50,0.371722378,0.342335398
0.6,50,0.390100449,0.348295179
0.7,50,0.390874703,0.339276069
0.8,50,0.381174314,0.341941251
2,50,0.408591195,0.363856259
3,50,0.418454528,0.375556617
4,50,0.43638523,0.387866967
5,50,0.45801435,0.403523363
9,50,0.536802118,0.451136092
0.5,850,0.514167099,0.379443865
0,50,0.468248916,0.389655972
0.02,50,0.445200552,0.383816928
0.05,50,0.467197889,0.388346172
0.1,50,0.465544644,0.383548082
0.15,50,0.468511033,0.380369202
0.2,50,0.469737466,0.377254494
0.25,50,0.464665279,0.372872683
0.4,50,0.427374172,0.363964821
0.5,50,0.423331925,0.360165056
0.6,50,0.410053966,0.359036668
0.7,50,0.407249848,0.355996438
0.8,50,0.428338276,0.353863799
2,50,0.409443671,0.367256569
3,50,0.439009927,0.379247721
4,50,0.435413877,0.388076288
5,50,0.435946811,0.399049101
9,50,0.514167099,0.44802571
2.5,5950,0.696545312,0.399987994
0,850,0.696545312,0.386502343
0,50,0.372652495,0.350437954
0.02,50,0.372806181,0.350900656
0.05,50,0.373249551,0.350767216
